Thu Jan  8 23:08:07 2026 | 10.17.192.147 | NORMAL | Confidence=0.10 | Bytes=56
Thu Jan  8 23:08:07 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=98
Thu Jan  8 23:08:07 2026 | 10.17.192.147 | NORMAL | Confidence=0.10 | Bytes=56
Thu Jan  8 23:08:07 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=98
Thu Jan  8 23:08:07 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:07 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:07 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:07 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:07 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:07 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:07 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=55
Thu Jan  8 23:08:07 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=55
Thu Jan  8 23:08:07 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=55
Thu Jan  8 23:08:07 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:07 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=115
Thu Jan  8 23:08:08 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:08 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:08 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:08 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:08 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:08 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=149
